SourceFile,ProblemID,DifficultLevel,cyclo,complex,lines,LOC
src/Iniciante/1534.py,1534,1,9,20,28,20
src/Iniciante/1541.py,1541,2,3,4,31,10
src/Iniciante/1557.py,1557,1,5,9,44,15
src/Iniciante/1564.py,1564,2,4,7,18,9
src/Iniciante/1589.py,1589,1,3,1,12,4
src/Iniciante/1759.py,1759,1,1,0,13,4
src/Iniciante/1789.py,1789,3,7,8,31,14
src/Iniciante/1827.py,1827,1,6,12,31,14
src/Iniciante/1828.py,1828,4,4,5,34,22
src/Iniciante/1837.py,1837,7,2,0,20,4
src/Iniciante/1848.py,1848,3,5,11,38,14
src/Iniciante/1858.py,1858,2,1,0,15,4
src/Iniciante/1864.py,1864,2,1,0,23,13
src/Iniciante/1865.py,1865,1,3,4,14,7
src/Iniciante/1866.py,1866,1,3,4,15,7
src/Iniciante/1914.py,1914,2,5,7,30,15
src/Iniciante/1924.py,1924,1,2,1,11,3
src/Iniciante/1930.py,1930,1,2,0,8,2
src/Iniciante/1933.py,1933,1,3,2,14,5
src/Iniciante/1957.py,1957,1,1,0,14,4
src/Iniciante/1960.py,1960,2,16,16,35,20
src/Iniciante/1963.py,1963,2,2,0,10,3
src/Iniciante/1973.py,1973,2,7,10,53,18
src/Iniciante/1985.py,1985,1,7,7,29,16
src/Iniciante/2003.py,2003,2,5,6,24,11
src/Iniciante/2006.py,2006,1,4,3,19,7
src/Iniciante/2028.py,2028,5,5,9,37,17
src/Iniciante/2029.py,2029,1,4,5,30,15
src/Iniciante/2031.py,2031,2,8,18,48,29
src/Iniciante/2059.py,2059,2,14,12,45,21
src/Iniciante/2060.py,2060,1,6,9,25,16
src/Iniciante/2061.py,2061,1,5,4,15,8
src/Iniciante/2140.py,2140,2,12,26,37,25
src/Iniciante/2146.py,2146,1,3,4,14,6
src/Iniciante/2147.py,2147,2,2,1,13,4
src/Iniciante/2152.py,2152,1,13,23,38,23
src/Iniciante/2159.py,2159,1,1,0,17,5
src/Iniciante/2161.py,2161,1,2,1,18,6
src/Iniciante/2162.py,2162,4,9,17,42,19
src/Iniciante/2164.py,2164,2,1,0,15,6
src/Iniciante/2166.py,2166,1,2,1,18,6
src/Iniciante/2167.py,2167,2,4,4,11,8
src/Iniciante/2168.py,2168,1,6,7,28,11
src/Iniciante/2172.py,2172,1,5,2,13,4
src/Iniciante/2176.py,2176,1,4,5,21,9
src/Iniciante/2221.py,2221,2,7,6,34,19
src/Iniciante/2234.py,2234,1,2,0,14,2
src/Iniciante/2235.py,2235,1,8,6,13,8
src/Iniciante/2310.py,2310,2,4,1,48,13
src/Iniciante/2313.py,2313,3,10,17,58,28
src/Iniciante/2344.py,2344,1,8,6,18,11
src/Iniciante/2483.py,2483,1,2,1,14,5
src/Iniciante/2543.py,2543,1,10,14,57,23
src/Iniciante/2581.py,2581,1,1,0,7,2
src/Iniciante/2670.py,2670,3,5,6,49,20
src/Iniciante/2702.py,2702,1,3,0,15,6
src/Iniciante/2708.py,2708,1,4,4,23,12
src/Iniciante/2717.py,2717,1,3,2,13,6
src/Iniciante/2728.py,2728,5,20,26,36,23
src/Iniciante/2747.py,2747,1,2,1,14,6
src/Iniciante/2748.py,2748,1,1,0,10,7
src/Iniciante/2750.py,2750,1,2,1,22,8
src/Iniciante/2752.py,2752,1,1,0,21,9
src/Iniciante/2753.py,2753,1,2,1,13,3
src/Iniciante/2754.py,2754,1,5,6,55,27
src/Iniciante/2756.py,2756,1,3,2,18,10
src/Iniciante/2763.py,2763,1,2,1,17,6
src/Iniciante/2774.py,2774,4,5,6,28,11
src/Iniciante/2779.py,2779,1,3,3,21,9
src/Iniciante/2780.py,2780,1,5,7,15,10
src/Iniciante/2786.py,2786,1,1,0,15,6
src/Iniciante/2787.py,2787,1,4,8,17,12
src/Iniciante/2791.py,2791,1,6,4,17,9
src/Iniciante/2861.py,2861,1,2,1,10,4
src/Iniciante/2862.py,2862,1,3,3,10,3
src/Iniciante/2879.py,2879,1,3,3,14,6
src/Iniciante/2896.py,2896,1,2,1,18,4
src/Iniciante/2936.py,2936,1,6,7,36,19
src/Iniciante/2950.py,2950,1,2,0,9,2
src/Iniciante/2987.py,2987,1,1,0,10,3
src/Iniciante/3040.py,3040,1,8,6,20,10
src/Iniciante/3046.py,3046,1,1,0,10,3
src/Iniciante/3047.py,3047,1,1,0,12,5
src/Iniciante/3055.py,3055,1,1,0,8,3
src/Iniciante/3091.py,3091,1,1,0,8,3
src/Iniciante/3140.py,3140,1,5,7,22,10
src/Iniciante/3142.py,3142,1,11,12,42,22
src/Iniciante/3145.py,3145,1,2,0,11,3
src/Iniciante/3146.py,3146,1,1,0,10,3
src/Iniciante/3147.py,3147,1,3,2,12,5
src/Iniciante/3157.py,3157,1,1,0,7,2
src/Iniciante/3161.py,3161,1,8,13,35,20
src/Iniciante/3170.py,3170,1,3,3,18,9
src/Iniciante/3173.py,3173,1,2,1,38,22
src/Iniciante/3174.py,3174,1,6,9,45,24
src/Iniciante/3209.py,3209,1,3,1,14,4
src/Iniciante/3250.py,3250,1,8,7,76,31
src/Iniciante/3252.py,3252,1,15,40,76,31
src/Iniciante/3253.py,3253,1,13,23,106,42
src/Iniciante/3255.py,3255,1,16,34,114,50
src/Iniciante/3256.py,3256,1,22,51,133,52
