#,Nome,Categoria,Favorito,Resolvidos,Nível,col_6
1505,,Curo Factories,Matemática,,54,10
1506,,Rabito e Bones,Grafos,,23,5
1507,,Subsequências,Estruturas e Bibliotecas,,3.173,7
1508,,Raio Laser,Ad-Hoc,,25,5
1509,,Contando Ambiguidades,Paradigmas,,98,10
1510,,O Passeio Turístico,Paradigmas,,19,5
1511,,Tabuleiro GCD,Estruturas e Bibliotecas,,219,10
1512,,Azulejos,Matemática,,2.193,5
1513,,Cavalo,Paradigmas,,537,9
1514,,Competição,Ad-Hoc,,4.505,5
1515,,Hello Galaxy,Ad-Hoc,,3.679,1
1516,,Imagem,Strings,,2.898,3
1517,,Maçãs,Paradigmas,,827,8
1518,,Tartarugas,Ad-Hoc,,123,10
1519,,Abreviações,Strings,,1.060,6
1520,,Parafusos e Porcas,Estruturas e Bibliotecas,,3.214,6
1521,,O Culpado,Ad-Hoc,,1.734,3
1522,,Jogo das Pilhas,Paradigmas,,1.066,8
1523,,Estacionamento Linear,Estruturas e Bibliotecas,,3.468,5
1524,,Fila do Bandejão,Paradigmas,,1.835,4
1525,,Gruntz,Grafos,,470,8
1526,,Transportando Lanches,Matemática,,18,5
1527,,Guildas,Estruturas e Bibliotecas,,1.555,6
1528,,Cordas Emaranhadas,Ad-Hoc,,11,5
1529,,"Max, o Louco",Grafos,,233,8
1530,,Quantas Substrings?,Strings,,479,9
1531,,Fibonacci de Novo!,Matemática,,635,10
1532,,Arremesso de Bolas,Ad-Hoc,,1.062,4
1533,,Detetive Watson,Ad-Hoc,,8.003,2
1534,,Matriz 123,Iniciante,,24.104,1
1535,,Números Casal-Solteirão-Solteirona,Estruturas e Bibliotecas,,122,10
1536,,Libertadores,Ad-Hoc,,4.367,3
1537,,Fila do Banco,Matemática,,1.078,4
1538,,Sequência Alienígena,Estruturas e Bibliotecas,,461,5
1539,,Empresa de Telecom,Grafos,,889,6
1540,,Planejando a Energia,Ad-Hoc,,1.249,5
1541,,Construindo Casas,Iniciante,,15.762,2
1542,,Lendo Livros,Ad-Hoc,,4.669,5
1543,,Quadro Premiado,Paradigmas,,260,7
1544,,O Último Dígito Não-Zero,Matemática,,479,8
1545,,Cartões II,Paradigmas,,281,9
1546,,Feedback,Ad-Hoc,,11.673,1
1547,,Adivinha,Ad-Hoc,,6.138,2
1548,,Fila do Recreio,Estruturas e Bibliotecas,,16.053,2
1549,,Dividindo a Coca,Geometria Computacional,,1.205,5
1550,,Inversão,Grafos,,2.857,7
1551,,Frase Completa,Strings,,8.685,4
1552,,Resgate em Queda Livre,Grafos,,2.409,6
1553,,Perguntas mais Frequentes,Ad-Hoc,,4.063,3
1554,,Bilhar N+1,Matemática,,2.245,5
1555,,Funções,Matemática,,18.815,1
1556,,Removendo Letras,Strings,,1.642,8
1557,,Matriz Quadrada III,Iniciante,,19.343,1
1558,,Soma de Dois Quadrados,Ad-Hoc,,4.601,5
1559,,2048,Ad-Hoc,,1.810,7
1560,,Energia dos Triângulos,Geometria Computacional,,614,7
1561,,Relógio Binário,Ad-Hoc,,1.280,3
1562,,Escolhendo as Duplas,Grafos,,80,10
1563,,O Grande Problema,Matemática,,161,10
1564,,Vai Ter Copa?,Iniciante,,27.080,2
1565,,Ligue os Pontos,Paradigmas,,43,10
1566,,Altura,Estruturas e Bibliotecas,,6.387,8
1567,,(2/3/4)-D Sqr/Rects/Cubes/Boxes?,Matemática,,289,5
1568,,{soma+=i++} até N,Matemática,,494,10
1569,,Sobe e Desce,Ad-Hoc,,425,9
1570,,Um Dia na Terra da Matemática,Matemática,,172,10
1571,,Um Quadrado & Triângulos Equiláteros,Geometria Computacional,,174,6
1572,,O Torneio Surreal,Matemática,,47,10
1573,,Fábrica de Chocolate,Ad-Hoc,,3.587,1
1574,,Instruções do Robô,Ad-Hoc,,5.007,2
1575,,Perseguindo Don Giovanni,Ad-Hoc,,36,10
1576,,O Problema da Linha do Horizonte,Ad-Hoc,,239,9
1577,,Polígonos Regulares Construtíveis,Matemática,,324,6
1578,,Matriz de Quadrados,Ad-Hoc,,3.159,6
1579,,Transporte de Painéis Solares,Paradigmas,,750,5
1580,,Quid Est Veritas? Est Vir Qui Adest!,Matemática,,900,6
1581,,Conversa Internacional,Strings,,10.690,2
1582,,O Teorema de Pitágoras,Matemática,,4.105,5
1583,,Contaminação,Grafos,,2.307,4
1584,,Espertofone,Grafos,,149,9
1585,,Fazendo Pandorgas,Matemática,,6.887,1
1586,,Cabo de Guerra,Strings,,1.352,8
1587,,BIT Park,Estruturas e Bibliotecas,,149,10
1588,,Ajude a Federação,Ad-Hoc,,995,7
1589,,Bob Conduite,Iniciante,,26.967,1
1590,,Cuarenta e Dois,Paradigmas,,614,8
1591,,Dia da Vovó,Ad-Hoc,,666,6
1592,,Elias e Golias,Grafos,,242,9
1593,,Função Binária,Ad-Hoc,,1.765,2
1594,,Guloso,Estruturas e Bibliotecas,,421,7
1595,,Humm.. Andar ou Correr.. Eis a Questão,Paradigmas,,899,6
1596,,Torneio de Yusuf II,Paradigmas,,1,5
1597,,Desmascarando o Empregado do Sultão,Paradigmas,,24,5
1598,,O Verdadeiro Valor dos Tapetes,Paradigmas,,17,5
1599,,Picos do Átlas,Paradigmas,,467,6
1600,,O Gato do Zelador do Armazém,Paradigmas,,85,9
1601,,Partição do Rebanho,Paradigmas,,42,10
1602,,Hiperprimos,Paradigmas,,1.007,8
1603,,Canais de Qanat,Paradigmas,,10,5
1604,,Pair-voting no Conselho de Gueliz,Paradigmas,,52,7
1605,,Montando Sua Própria Cáfila,Paradigmas,,20,5
1606,,As Dicas de Ali Babá,Paradigmas,,407,6
1607,,Avance as Letras,Strings,,6.919,2
1608,,Bolos da Maria,Paradigmas,,1.986,1
1609,,Contando Carneirinhos,Ad-Hoc,,5.633,4
1610,,Dudu Faz Serviço,Grafos,,4.912,7
1611,,Elevador Lotado,Paradigmas,,1.375,4
1612,,Formiguinha,Ad-Hoc,,2.259,3
1613,,Goemon em Apuros,Geometria Computacional,,347,10
1614,,Ajude o Turista,Paradigmas,,159,7
1615,,Insatisfação nas Eleições,Ad-Hoc,,991,3
1616,,Baile de Formatura,Paradigmas,,399,6
1617,,Caminho Seguro,Grafos,,108,7
1618,,Colisão,Ad-Hoc,,4.154,4
1619,,Diferença entre Datas,Ad-Hoc,,770,4
1620,,Triangulação de Delaunay,Matemática,,1.753,4
1621,,Labirinto,Grafos,,827,7
1622,,Lâmpadas,Ad-Hoc,,330,6
1623,,Linguagem,Matemática,,251,9
1624,,Promoção,Matemática,,935,4
1625,,Robocopia,Matemática,,2,5
1626,,Maratona All FACE,Matemática,,121,10
1627,,Último Dano,Ad-Hoc,,578,3
1628,,ChessGuess,Grafos,,22,5
1629,,DescompactaFACE,Strings,,709,3
1630,,Estacas,Matemática,,1.786,1
1631,,O Fantástico Bolo de Bobby,Geometria Computacional,,482,5
1632,,Variações,Strings,,4.081,1
1633,,SBC,Estruturas e Bibliotecas,,700,5
1634,,Outra Loteria,Matemática,,228,5
1635,,Resultado das Eleições,Matemática,,171,9
1636,,Permutações Antimonotônicas Cíclicas,Paradigmas,,182,6
1637,,Codificação Gamma de Elias,Paradigmas,,43,4
1638,,Tamanho da Porção de Comida,Ad-Hoc,,41,9
1639,,Gerando Números Aleatórios,Ad-Hoc,,545,3
1640,,Reservando Hotéis,Estruturas e Bibliotecas,,231,9
1641,,Restaurante e Pizzaria do Alfredo,Matemática,,1.561,3
1642,,Teclado Quebrado,Paradigmas,,558,6
1643,,Converter Quilômetros para Milhas,Paradigmas,,1.172,3
1644,,Decifre o Texto,Matemática,,220,9
1645,,El Dorado,Paradigmas,,851,6
1646,,Floresta,Geometria Computacional,,56,10
1647,,Um Jogo com Bolas de Gude,Matemática,,856,3
1648,,Ajude Bob,Paradigmas,,87,9
1649,,Ferramenta Irritante de Pintura,Paradigmas,,596,4
1650,,Pintura Preto e Branco,Matemática,,495,3
1651,,Cilindro,Geometria Computacional,,195,7
1652,,Deli Deli,Ad-Hoc,,956,2
1653,,Expressões,Grafos,,87,5
1654,,Mercearia,Paradigmas,,467,9
1655,,106 Milhas Para Chicago,Grafos,,1.617,6
1656,,Doces do Dia das Bruxas,Matemática,,187,8
1657,,Corretor Automático de Erros de Soletração,Ad-Hoc,,99,9
1658,,Grupos Diedro,Matemática,,33,7
1659,,Chamadas Econômicas,Paradigmas,,23,5
1660,,Flavius Josephus Está de Volta,Matemática,,152,7
1661,,Comércio de Vinhos na Gergóvia,Paradigmas,,2.022,5
1662,,Quadrados Homogêneos,Matemática,,47,7
1663,,Permutações Ambíguas,Ad-Hoc,,618,3
1664,,Bullshit Bingo,Strings,,299,7
1665,,Decorando a Parede,Geometria Computacional,,46,8
1666,,Qualquer Tolo Consegue,Paradigmas,,72,7
1667,,HTML,Strings,,634,9
1668,,Ajude o Autor do Problema,Grafos,,34,5
1669,,Todos os Discos Considerados,Grafos,,316,8
1670,,Lógica Booleana,Ad-Hoc,,43,3
1671,,Código,Grafos,,124,8
1672,,Em Perigo,Paradigmas,,383,6
1673,,Codificação Run-length,Estruturas e Bibliotecas,,514,7
1674,,Fractran,Matemática,,16,5
1675,,Construção de Procura Binária de Heap,Grafos,,137,10
1676,,Precisa-se de Ajuda,Ad-Hoc,,519,5
1677,,A Base de um Grafo,Grafos,,324,9
1678,,Gerenciamento de Partição Fixa em Competição,Ad-Hoc,,10,5
1679,,"Bebida, com Gelo",Geometria Computacional,,56,6
1680,,Borda,Ad-Hoc,,213,4
1681,,Dobra,Paradigmas,,18,5
1682,,Código Genético,Paradigmas,,914,5
1683,,Maior Retângulo em um Histograma,Estruturas e Bibliotecas,,574,7
1684,,Maratona Doce,Ad-Hoc,,151,6
1685,,Praça de Daniel,Paradigmas,,119,9
1686,,Sequência de Palíndromos,Strings,,18,5
1687,,Destrave o Celular,Paradigmas,,160,9
1688,,Nim Intergalático,Matemática,,55,7
1689,,Radares,Paradigmas,,556,7
1690,,Soma de Sobconjuntos,Paradigmas,,862,7
1691,,Super Circunferência,Ad-Hoc,,18,5
1692,,Curo Ataque,Grafos,,45,10
1693,,Apenas Outro Problema de Física,Geometria Computacional,,235,10
1694,,Loteria,Matemática,,364,8
1695,,Ordenando Árvores,Grafos,,145,9
1696,,Brincando Com Operadores,Estruturas e Bibliotecas,,113,10
1697,,Jaida e o Jogo Multiplicativo,Matemática,,720,9
1698,,Metrô Brasileiro,Grafos,,24,5
1699,,Jogo Entediante,Ad-Hoc,,310,8
1700,,Antenas,Paradigmas,,228,10
1701,,Sequência de Fibo,Estruturas e Bibliotecas,,145,9
1702,,Colorindo Grafos,Grafos,,182,8
1703,,Pulando Pedras,Matemática,,83,10
1704,,Arrumando as Tarefas,Estruturas e Bibliotecas,,1.195,9
1705,,Apaixonado por Binário,Matemática,,216,10
1706,,Pontes Mágicas,Grafos,,451,6
1707,,Jogo com Números,Paradigmas,,158,8
1708,,Volta,Ad-Hoc,,4.660,3
1709,,Baralho Embaralhado,Estruturas e Bibliotecas,,2.527,4
1710,,Confederação,Ad-Hoc,,509,6
1711,,Dona Minhoca,Grafos,,515,8
1712,,Ecologia,Ad-Hoc,,199,10
1713,,Teletransporte,Grafos,,428,7
1714,,Letras,Ad-Hoc,,375,8
1715,,Handebol,Ad-Hoc,,4.491,2
1716,,RSA,Ad-Hoc,,1.036,7
1717,,Corte,Ad-Hoc,,110,9
1718,,Pizza do Vô Pepe,Ad-Hoc,,482,8
1719,,Computadores Simples,Ad-Hoc,,184,8
1720,,Sonho de Mondriaan,Paradigmas,,108,6
1721,,Equidistância,Geometria Computacional,,66,9
1722,,Quantos Fibs?,Matemática,,600,8
1723,,Árvores Filogenéticas Herdadas,Grafos,,25,5
1724,,Caminhada em um Grafo,Grafos,,57,6
1725,,Quadtree II,Estruturas e Bibliotecas,,35,5
1726,,Amigos,Strings,,272,7
1727,,Copa Européia 2000,Paradigmas,,182,6
1728,,"Difícil de Acreditar, Mas é Verdade!",Ad-Hoc,,1.465,3
1729,,Média Não é Rápida o Suficiente!,Matemática,,256,6
1730,,Global Roaming,Geometria Computacional,,55,4
1731,,Frutas Avançadas,Ad-Hoc,,98,6
1732,,Abelha Maja,Ad-Hoc,,397,4
1733,,Vladimir o Vampiro,Grafos,,47,9
1734,,Limite Encontrado,Matemática,,21,5
1735,,Codifique a Árvore,Matemática,,226,6
1736,,Decodifique a Árvore,Matemática,,44,9
1737,,Etaoin Shrdlu,Strings,,535,4
1738,,Rede de Fibra,Grafos,,926,6
1739,,Sequência de Threebonacci,Ad-Hoc,,1.739,4
1740,,Está Ordenado?,Estruturas e Bibliotecas,,97,10
1741,,Notação Reversa de João,Ad-Hoc,,550,9
1742,,Entrando em Confusão,Grafos,,40,10
1743,,Máquina de Verificação Automatizada,Ad-Hoc,,8.193,1
1744,,Pedras Pretas e Brancas,Paradigmas,,435,7
1745,,Contando Substhreengs,Matemática,,403,6
1746,,Dividindo os Nomes,Estruturas e Bibliotecas,,84,10
1747,,Distribuição Igual,Grafos,,208,10
1748,,Cerque Os Vegetais,Geometria Computacional,,50,9
1749,,Colisão Galática,Grafos,,266,8
1750,,Ajude o Cupido,Ad-Hoc,,434,6
1751,,Alpinista Intrépido,Grafos,,396,6
1752,,Jornada Pelo Reino,Grafos,,101,10
1753,,Cavaleiros Da Tàvola Redonda,Ad-Hoc,,32,10
1754,,A Sala do Tempo,Matemática,,446,6
1755,,O Troco,Ad-Hoc,,595,7
1756,,Algoritmo Genético,Matemática,,234,4
1757,,Viagem Barril,Grafos,,250,7
1758,,Pontos Extras,Ad-Hoc,,605,5
1759,,Ho Ho Ho,Iniciante,,32.182,1
1760,,Floco de Neve de Koch,Matemática,,1.485,2
1761,,Decoração Natalina,Matemática,,1.788,1
1762,,Trenós do Papai Noel,Estruturas e Bibliotecas,,213,8
1763,,Tradutor do Papai Noel,Estruturas e Bibliotecas,,5.254,3
1764,,Itinerário do Papai Noel,Grafos,,3.432,3
1765,,Trapézios de Natal,Ad-Hoc,,1.454,2
1766,,O Elfo das Trevas,Estruturas e Bibliotecas,,3.379,3
1767,,Saco do Papai Noel,Paradigmas,,2.403,4
1768,,Árvore de Natal,Strings,,5.765,1
1769,,CPF 1,Ad-Hoc,,3.866,3
1770,,Shuffle,Ad-Hoc,,609,3
1771,,Cartelas de Bingo Aleatórias,Ad-Hoc,,189,5
1772,,Embaralhamento de Bits,Ad-Hoc,,564,5
1773,,Preso no Castelo,Grafos,,461,9
1774,,Roteadores,Grafos,,3.941,3
1775,,André e os Mentos,Paradigmas,,309,6
1776,,Baile de Formatura,Matemática,,313,9
1777,,Calçada da Fama,Paradigmas,,315,9
1778,,Defesa ao Grafo,Grafos,,152,10
1779,,Estimando a Média,Ad-Hoc,,1.084,5
1780,,Formação de Robôs,Ad-Hoc,,100,9
1781,,Guga e a String,Strings,,738,8
1782,,Honorável Presente,Grafos,,83,9
1783,,"Ih, Ferrou, um Buraco Negro!",Geometria Computacional,,608,3
1784,,Jacutingas vs Jaburus,Paradigmas,,78,9
1785,,Kaprekar,Matemática,,817,3
1786,,CPF 2,Ad-Hoc,,1.858,3
1787,,URI,Ad-Hoc,,1.408,5
1788,,Brincando com Números,Paradigmas,,133,9
1789,,A Corrida de Lesmas,Iniciante,,21.230,3
1790,,Detectando Pontes,Grafos,,1.333,6
1791,,Descobrindo uma Matriz,Ad-Hoc,,86,10
1792,,Ataque Programado,Grafos,,290,8
1793,,Escada Rolante,Ad-Hoc,,2.172,1
1794,,Lavanderia,Ad-Hoc,,6.357,1
1795,,Triângulo Trinomial,Matemática,,4.878,2
1796,,Economia Brasileira,Ad-Hoc,,6.314,2
1797,,Ferozes e Curiosos,Geometria Computacional,,215,9
1798,,Cortando Canos,Paradigmas,,2.964,5
1799,,O Rato no Labirinto,Grafos,,2.080,4
1800,,Onde Estão Minhas Chaves,Ad-Hoc,,2.070,3
1801,,Brincando com Números,Matemática,,236,8
1802,,Catálogo de Livros,Ad-Hoc,,1.597,3
1803,,Matring,Strings,,3.289,1
1804,,Precisa-se de Matemáticos em Marte,Estruturas e Bibliotecas,,1.418,6
1805,,Soma Natural,Matemática,,12.268,6
1806,,Agente 004,Grafos,,261,7
1807,,"Triângulo Trinomial, a Vingança",Matemática,,1.672,5
1808,,O Retorno do Rei,Ad-Hoc,,1.706,3
1809,,Agentes Secretos,Ad-Hoc,,40,5
1810,,"Beverly Hills, Century City",Paradigmas,,50,9
1811,,O Óscar Vai Para...,Ad-Hoc,,144,8
1812,,Um Cluster Para Evitar Enchentes,Matemática,,31,5
1813,,Anacrônico?,Grafos,,100,9
1814,,DNA Storage?,Ad-Hoc,,72,8
1815,,Drunk People?,Matemática,,132,8
1816,,Vikings em Praga?,Ad-Hoc,,502,2
1817,,Arqueólogos de Tsing Ling,Ad-Hoc,,28,5
1818,,Centro de Convenções,Geometria Computacional,,2,5
1819,,Estimando a Produção,Matemática,,11,5
1820,,Grupos da Universidade de Sing Pil,Ad-Hoc,,32,5
1821,,Miai Chinês,Grafos,,68,9
1822,,Obras da China,Paradigmas,,80,2
1823,,O Penúltimo Imperador,Grafos,,8,5
1824,,Sapos de Tsé-Tsé,Ad-Hoc,,82,9
1825,,Formigando,Geometria Computacional,,24,5
1826,,A Linguagem é Infinita?,Grafos,,30,10
1827,,Matriz Quadrada IV,Iniciante,,13.003,1
1828,,Bazinga!,Iniciante,,18.201,4
1829,,Jogo do Maior Número,Matemática,,810,7
1830,,Caixas de Bombons,Matemática,,130,9
1831,,Dia Difícil de Trabalho,Matemática,,198,9
1832,,EBCDIC,Ad-Hoc,,441,3
1833,,Decoração Natalina,Paradigmas,,209,8
1834,,Vogons!,Geometria Computacional,,406,6
1835,,Promessa de Campanha,Grafos,,1.793,5
1836,,Pokémon!,Ad-Hoc,,1.567,3
1837,,Prefácio,Iniciante,,13.434,7
1838,,A Pedra Filosofal,Paradigmas,,384,7
1839,,A Câmara Secreta,Matemática,,272,7
1840,,O Prisioneiro de Azkaban,Ad-Hoc,,145,8
1841,,O Cálice de Fogo,Matemática,,123,10
1842,,A Ordem da Fênix,Strings,,138,9
1843,,O Enigma do Príncipe,Paradigmas,,81,9
1844,,As Relíquias da Morte,Geometria Computacional,,168,9
1845,,Efílogo,Ad-Hoc,,1.375,8
1846,,Numero Para Nome,Strings,,740,8
1847,,Bem-vindos e Bem-vindas ao Inverno!,Iniciante,,17.063,4
1848,,Corvo Contador,Iniciante,,13.291,3
1849,,Dracarys!,Ad-Hoc,,1.018,6
1850,,O Labirinto de Ninguém,Grafos,,229,7
1851,,Como Treinar Seu Dragão,Estruturas e Bibliotecas,,681,6
1852,,Lobos Stark,Paradigmas,,88,6
1853,,O Jogo da Confiança de Daenerys,Strings,,103,10
1854,,Inverno em Winterfell,Estruturas e Bibliotecas,,175,10
1855,,Mapa do Meistre,Grafos,,2.865,3
1856,,A Lista da Morte de Arya,Estruturas e Bibliotecas,,305,10
1857,,Prelúdio de um Casamento Vermelho,Geometria Computacional,,50,10
1858,,A Resposta de Theon,Iniciante,,17.469,2
1859,,Arqueologia Congelante,Strings,,38,10
1860,,A Caminhada da Vergonha de Cersei,Paradigmas,,237,7
1861,,O Hall dos Assassinos,Estruturas e Bibliotecas,,3.584,5
1862,,Casas de Westeros,Grafos,,1.014,6
1863,,O Contra-ataque de Ramsay,Estruturas e Bibliotecas,,67,10
1864,,Nossos Dias Nunca Voltarão,Iniciante,,15.915,2
1865,,Mjölnir,Iniciante,,19.633,1
1866,,Conta,Iniciante,,21.231,1
1867,,Maior Número de Um Algarismo,Ad-Hoc,,2.354,4
1868,,Espiral Quadrada,Strings,,1.198,2
1869,,Base 32,Matemática,,1.629,5
1870,,Ventiladores e Balões,Ad-Hoc,,1.168,2
1871,,Zero vale Zero,Strings,,10.056,1
1872,,Palíndromo Real,Matemática,,91,10
1873,,Pedra-papel-tesoura-lagarto-Spock,Strings,,7.771,2
1874,,Empurrando Blocos,Estruturas e Bibliotecas,,1.113,2
1875,,Tribol,Geometria Computacional,,2.574,3
1876,,Rabiola,Ad-Hoc,,627,2
1877,,O Castelo de Neve de Sansa,Ad-Hoc,,708,3
1878,,Torneios em Sequência,Paradigmas,,904,3
1879,,Bridge,Ad-Hoc,,73,5
1880,,Renzo e a Decoração Capicuânica,Ad-Hoc,,512,6
1881,,Competição de Robótica,Ad-Hoc,,81,10
1882,,Passeios Aleatórios pela Tailândia,Grafos,,6,5
1883,,Fuga de Ayutthaya,Grafos,,283,9
1884,,Lutando Contra os Rajasi,Ad-Hoc,,113,10
1885,,Loteria Tailandesa,Ad-Hoc,,63,8
1886,,Resguardando os Templos,Ad-Hoc,,146,6
1887,,As Vias Férreas Kunming-Cingapura,Ad-Hoc,,53,10
1888,,Os chedis de Kamphaeng Phet,Ad-Hoc,,34,9
1889,,Treinando com as Larvas de Phuket,Ad-Hoc,,145,9
1890,,Emplacando os Tuk-tuks,Ad-Hoc,,1.838,2
1891,,Removendo Moedas no Kem Kradãn,Ad-Hoc,,214,6
1892,,Calouro Vence Veterano?,Paradigmas,,938,9
1893,,Fases da Lua,Ad-Hoc,,5.286,4
1894,,Filogenia,Grafos,,32,5
1895,,Jogo do Limite,Ad-Hoc,,1.371,3
1896,,É Hora do Duelo!,Ad-Hoc,,684,5
1897,,Jogo Esperto,Estruturas e Bibliotecas,,1.453,7
1898,,Soma de Propina,Strings,,1.356,9
1899,,Acerte o Alvo!,Ad-Hoc,,324,8
1900,,Sequências Nulas,Paradigmas,,354,7
1901,,Borboletas,Ad-Hoc,,2.663,5
1902,,Sociedade Brasileira Casamenteira,Grafos,,632,6
1903,,Cadeia Alimentar,Grafos,,327,10
1904,,Par ou Ímpar 2.0,Matemática,,445,9
1905,,Polícia e Ladrão,Grafos,,3.773,5
1906,,Senhas de Collatz,Grafos,,97,9
1907,,Coloração de Cenários de Jogos,Grafos,,2.128,5
1908,,UFFS Multicampi,Grafos,,494,9
1909,,Ajude Kiko,Matemática,,576,7
1910,,Ajude Clotilde,Grafos,,1.627,7
1911,,Ajude Girafales,Estruturas e Bibliotecas,,3.418,4
1912,,Ajude Seu Madruga,Paradigmas,,2.642,8
1913,,Ajude o Sr. Barriga,Paradigmas,,188,7
1914,,De Quem é a Vez?,Iniciante,,13.869,2
1915,,Ajude Chaves,Grafos,,253,10
1916,,Banco de Horas de Jaiminho,Ad-Hoc,,149,5
1917,,Ajude o Chapolin Colorado!,Ad-Hoc,,112,8
1918,,Viagem para Acapulco,Ad-Hoc,,32,10
1919,,Ajude Nhonho,Ad-Hoc,,236,2
1920,,Fonte dos Desejos,Ad-Hoc,,280,5
1921,,Guilherme e Suas Pipas,Matemática,,7.121,3
1922,,Diego e o Jogo do Martelo,Paradigmas,,96,6
1923,,Rerisson e o Churrasco,Grafos,,829,7
1924,,Vitória e a Indecisão,Iniciante,,14.480,1
1925,,Ordan e as Novinhas,Grafos,,156,9
1926,,Marianne e os Primos Gêmeos,Matemática,,854,8
1927,,Tapioca e a Chuva de Trufas,Paradigmas,,367,9
1928,,Jogo da Memória,Grafos,,863,7
1929,,Triângulo,Iniciante,,15.990,3
1930,,Tomadas,Iniciante,,27.440,1
1931,,Mania de Par,Grafos,,2.827,6
1932,,Bolsa de Valores,Paradigmas,,1.821,7
1933,,Tri-du,Iniciante,,19.947,1
1934,,Quebra-cabeça,Ad-Hoc,,507,5
1935,,Espiral,Ad-Hoc,,518,8
1936,,Fatorial,Ad-Hoc,,5.246,1
1937,,Guardiões Curiosos,Ad-Hoc,,122,10
1938,,Praça do Retângulo,Geometria Computacional,,531,6
1939,,Ominobox,Ad-Hoc,,32,10
1940,,Jogo da Estratégia,Ad-Hoc,,3.727,3
1941,,Palíndromo,Strings,,646,7
1942,,Loteria,Ad-Hoc,,176,10
1943,,Top N,Ad-Hoc,,8.657,1
1944,,BRINDE FACE 2015,Estruturas e Bibliotecas,,3.103,4
1945,,Simulador,Ad-Hoc,,481,3
1946,,Pirâmide da Sorte,Matemática,,328,5
1947,,Rota do Taxista,Grafos,,149,9
1948,,Compilador,Grafos,,84,5
1949,,Registrador de Deslocamento,Matemática,,29,10
1950,,Spöhndriger,Grafos,,0,5
1951,,Validador de Circuitos,Grafos,,113,7
1952,,O Cavalo no Xadrez 3D,Grafos,,196,7
1953,,Roberto e a Sala Desenfreada,Ad-Hoc,,2.429,2
1954,,Caminhos Evolucionários Possíveis,Grafos,,93,10
1955,,See World,Grafos,,1.090,5
1956,,Acácias,Grafos,,485,8
1957,,Converter para Hexadecimal,Iniciante,,15.071,1
1958,,Notação Científica,Iniciante,,7.455,4
1959,,Polígonos Regulares Simples,Iniciante,,13.234,3
1960,,Numeração Romana para Números de Página,Iniciante,,10.054,2
1961,,Pula Sapo,Iniciante,,16.580,2
1962,,"Há Muito, Muito Tempo Atrás",Iniciante,,12.090,2
1963,,O Filme,Iniciante,,15.188,2
1964,,A Ira de Khan,Ad-Hoc,,116,10
1965,,A Procura por Spock,Ad-Hoc,,41,10
1966,,A Volta para Casa,Ad-Hoc,,377,9
1967,,A Fronteira Final,Matemática,,764,6
1968,,A Terra Desconhecida,Matemática,,118,10
1969,,Generations,Matemática,,61,10
1970,,Primeiro Contato,Paradigmas,,477,6
1971,,Insurreição,Geometria Computacional,,140,10
1972,,Nêmesis,Grafos,,781,7
1973,,Jornada nas Estrelas,Iniciante,,8.081,7
1974,,Além da Escuridão,Grafos,,22,5
1975,,Pérolas,Estruturas e Bibliotecas,,604,8
1976,,Matrizes,Paradigmas,,300,10
1977,,Não Posso me Atrasar,Grafos,,516,7
1978,,Câmeras,Paradigmas,,115,9
1979,,Salas Separadas,Grafos,,719,6
1980,,Embaralhando,Ad-Hoc,,2.649,6
1981,,Embaralhando de Novo,Matemática,,336,9
1982,,Novos Computadores,Geometria Computacional,,632,6
1983,,O Escolhido,Iniciante,,13.048,2
1984,,O Enigma do Pronalândia,Iniciante,,12.984,2
1985,,MacPRONALTS,Iniciante,,17.581,1
1986,,Perdido em Marte,Ad-Hoc,,1.211,1
1987,,Divisibilidade Por 3,Ad-Hoc,,3.178,2
1988,,Circuitos Turísticos,Grafos,,7,5
1989,,Fazendo Nada,Matemática,,912,4
1990,,Equilíbrio,Matemática,,95,9
1991,,Fábrica de Pontes,Geometria Computacional,,41,10
1992,,Ganhando Tempo,Matemática,,3,5
1993,,Ele é Preguiçoso,Grafos,,124,9
1994,,Imperialismo,Grafos,,137,8
1995,,"Game, Set e Match",Matemática,,0,5
1996,,Construção de Tendas,Paradigmas,,9,5
1997,,Branco e Preto,Ad-Hoc,,494,2
1998,,Awari 2.0,Ad-Hoc,,341,6
1999,,Baile de Reconciliação,Matemática,,259,4
2000,,Adeildo da Odonto,Strings,,161,10
2001,,Bile,Matemática,,78,10
2002,,Casa de Rogério,Grafos,,99,10
2003,,Domingo de Manhã,Iniciante,,9.428,2
2004,,Enisvaldo Com Fome,Ad-Hoc,,428,5
2005,,Fracil Bolado,Ad-Hoc,,159,9
2006,,Identificando o Chá,Iniciante,,33.548,1
2007,,Falha Ao Cercar Legumes,Matemática,,173,9
2008,,Expondo a Corrupção,Ad-Hoc,,276,6
2009,,Apenas um Pouco Classificadas,Ad-Hoc,,48,7
2010,,Mantenha Isso Energizado,Ad-Hoc,,165,8
2011,,Impostos Galácticos,Ad-Hoc,,260,9
2012,,Altura do Mapa,Ad-Hoc,,144,9
2013,,No Máximo Duas Vezes,Ad-Hoc,,290,7
2014,,Grupos Sanguineos,Ad-Hoc,,121,6
2015,,Fatia do Bolo,Ad-Hoc,,142,7
2016,,D como em Daedalus,Ad-Hoc,,429,4
2017,,Seis Strings,Strings,,891,5
2018,,Olimpíadas de Natal,Estruturas e Bibliotecas,,1.508,4
2019,,"Cici, Cini e Cino",Ad-Hoc,,24,5
