#,Nome,Categoria,Favorito,Resolvidos,Nível,col_6
1115,,Quadrante,Iniciante,,78.679,1
1116,,Dividindo X por Y,Iniciante,,70.714,1
1117,,Validação de Nota,Iniciante,,75.144,1
1118,,Várias Notas Com Validação,Iniciante,,54.621,3
1119,,A Fila de Desempregados,Estruturas e Bibliotecas,,3.616,4
1120,,Revisão de Contrato,Strings,,15.977,5
1121,,Robô Colecionador,Ad-Hoc,,2.737,4
1122,,Livro-Caixa,Ad-Hoc,,780,7
1123,,Desvio de Rota,Grafos,,3.302,4
1124,,Elevador,Geometria Computacional,,3.715,8
1125,,Fórmula 1,Ad-Hoc,,2.435,3
1126,,Guerra nas Estrelas,Geometria Computacional,,190,9
1127,,Plágio Musical,Ad-Hoc,,802,8
1128,,Ir e Vir,Grafos,,4.358,4
1129,,Leitura Ótica,Ad-Hoc,,13.380,1
1130,,Jogo da Velha,Ad-Hoc,,302,10
1131,,Grenais,Iniciante,,52.443,1
1132,,Múltiplos de 13,Iniciante,,69.419,1
1133,,Resto da Divisão,Iniciante,,67.560,3
1134,,Tipo de Combustível,Iniciante,,76.361,1
1135,,Colônia de Formigas,Grafos,,1.515,8
1136,,Bingo!,Ad-Hoc,,3.887,4
1137,,Pontos Cocirculares,Geometria Computacional,,500,8
1138,,Contagem de Dígitos,Matemática,,1.773,8
1139,,Necessidades Elétricas,Ad-Hoc,,58,10
1140,,Flores Florescem da França,Ad-Hoc,,9.394,4
1141,,Cultivando Strings,Strings,,1.240,10
1142,,PUM,Iniciante,,70.727,1
1143,,Quadrado e ao Cubo,Iniciante,,64.722,1
1144,,Sequência Lógica,Iniciante,,54.634,1
1145,,Sequência Lógica 2,Iniciante,,55.602,2
1146,,Sequências Crescentes,Iniciante,,56.720,3
1147,,Fuga do Cavalo,Ad-Hoc,,1.679,6
1148,,Países em Guerra,Grafos,,6.213,5
1149,,Somando Inteiros Consecutivos,Iniciante,,39.225,1
1150,,Ultrapassando Z,Iniciante,,40.604,1
1151,,Fibonacci Fácil,Iniciante,,75.839,2
1152,,Estradas Escuras,Grafos,,7.299,5
1153,,Fatorial Simples,Iniciante,,80.759,1
1154,,Idades,Iniciante,,68.402,1
1155,,Sequência S,Iniciante,,46.315,2
1156,,Sequência S II,Iniciante,,41.359,2
1157,,Divisores I,Iniciante,,58.701,1
1158,,Soma de Ímpares Consecutivos III,Iniciante,,42.507,1
1159,,Soma de Pares Consecutivos,Iniciante,,45.747,2
1160,,Crescimento Populacional,Iniciante,,42.640,5
1161,,Soma de Fatoriais,Matemática,,25.783,5
1162,,Organizador de Vagões,Estruturas e Bibliotecas,,8.629,5
1163,,Angry Ducks,Matemática,,2.427,7
1164,,Número Perfeito,Iniciante,,58.170,2
1165,,Número Primo,Iniciante,,65.826,2
1166,,"Torre de Hanoi, Novamente!",Paradigmas,,2.617,2
1167,,Acampamento de Férias,Estruturas e Bibliotecas,,2.998,5
1168,,LED,Strings,,46.975,3
1169,,Trigo no Tabuleiro,Matemática,,9.937,4
1170,,Blobs,Matemática,,17.090,3
1171,,Frequência de Números,Ad-Hoc,,23.760,3
1172,,Substituição em Vetor I,Iniciante,,107.534,1
1173,,Preenchimento de Vetor I,Iniciante,,95.702,1
1174,,Seleçao em Vetor I,Iniciante,,85.485,3
1175,,Troca em Vetor I,Iniciante,,88.788,2
1176,,Fibonacci em Vetor,Iniciante,,67.058,3
1177,,Preenchimento de Vetor II,Iniciante,,71.720,1
1178,,Preenchimento de Vetor III,Iniciante,,63.008,2
1179,,Preenchimento de Vetor IV,Iniciante,,57.173,2
1180,,Menor e Posição,Iniciante,,86.981,3
1181,,Linha na Matriz,Iniciante,,72.789,3
1182,,Coluna na Matriz,Iniciante,,62.982,2
1183,,Acima da Diagonal Principal,Iniciante,,59.889,4
1184,,Abaixo da Diagonal Principal,Iniciante,,44.265,2
1185,,Acima da Diagonal Secundária,Iniciante,,41.182,2
1186,,Abaixo da Diagonal Secundária,Iniciante,,40.431,3
1187,,Área Superior,Iniciante,,42.853,3
1188,,Área Inferior,Iniciante,,33.228,1
1189,,Área Esquerda,Iniciante,,31.154,2
1190,,Área Direita,Iniciante,,35.095,1
1191,,Recuperação da Árvore,Grafos,,3.626,5
1192,,O jogo Matemático de Paula,Ad-Hoc,,14.011,2
1193,,Conversão entre Bases,Matemática,,5.639,3
1194,,"Prefixa, Infixa e Posfixa",Grafos,,3.346,3
1195,,Árvore Binária de Busca,Grafos,,8.720,5
1196,,WERTYU,Ad-Hoc,,5.368,5
1197,,Volta à Faculdade de Física,Matemática,,13.875,1
1198,,O Bravo Guerreiro Hashmat,Matemática,,13.298,5
1199,,Conversão Simples de Base,Matemática,,6.105,3
1200,,Operações em ABP I,Grafos,,4.278,4
1201,,Operações em ABP II,Grafos,,2.346,7
1202,,Festival das Noites Brancas,Matemática,,1.480,7
1203,,Pontes de São Petersburgo,Paradigmas,,1.620,7
1204,,"Myachowski, o Futebol Russo",Geometria Computacional,,139,9
1205,,Cerco a Leningrado,Grafos,,1.262,7
1206,,Desafio de São Petersburgo,Ad-Hoc,,335,9
1207,,Os Benefícios da Vodka,Grafos,,402,9
1208,,As dinastias de São Petersburgo,Grafos,,217,7
1209,,Festas de São Petersburgo,Ad-Hoc,,971,9
1210,,Produção Ótima de Ótima Vodka,Paradigmas,,821,5
1211,,Lista Telefônica Econômica,Estruturas e Bibliotecas,,4.728,5
1212,,Aritmética Primária,Matemática,,7.697,8
1213,,Ones,Matemática,,3.280,5
1214,,Acima da Média,Matemática,,10.151,3
1215,,Primeiro Dicionário de Andy,Estruturas e Bibliotecas,,4.368,6
1216,,Getline One,Ad-Hoc,,8.283,4
1217,,Getline Two - Frutas,Ad-Hoc,,5.387,4
1218,,Getline Three - Calçados,Ad-Hoc,,3.667,4
1219,,Flores Coloridas,Matemática,,3.094,5
1220,,A Viagem,Matemática,,1.229,7
1221,,Primo Rápido,Matemática,,16.383,6
1222,,Concurso de Contos,Strings,,5.191,6
1223,,Tobogan de Bolinhas,Geometria Computacional,,679,8
1224,,Cartões,Paradigmas,,1.540,8
1225,,Coral Perfeito,Ad-Hoc,,1.663,3
1226,,Elevador Espacial,Paradigmas,,462,8
1227,,Perdido na Noite,Grafos,,421,7
1228,,Grid de Largada,Ad-Hoc,,3.611,3
1229,,Combate ao Câncer,Paradigmas,,458,7
1230,,Integral,Matemática,,124,10
1231,,Palavras,Paradigmas,,216,7
1232,,Ciclo de Rubik,Matemática,,363,7
1233,,Estrela,Matemática,,1.368,6
1234,,Sentença Dançante,Strings,,18.888,3
1235,,De Dentro para Fora,Strings,,14.966,5
1236,,Compactação de Nulos e Brancos,Estruturas e Bibliotecas,,852,8
1237,,Comparação de Substring,Strings,,7.095,6
1238,,Combinador,Strings,,23.647,3
1239,,Atalhos Bloggo,Strings,,6.715,3
1240,,Encaixa ou Não I,Matemática,,10.699,2
1241,,Encaixa ou Não II,Strings,,19.294,2
1242,,Ácido Ribonucleico Alienígena,Estruturas e Bibliotecas,,2.093,4
1243,,O Quão Fácil é...,Strings,,2.866,7
1244,,Ordenação por Tamanho,Estruturas e Bibliotecas,,13.725,4
1245,,Botas Perdidas,Ad-Hoc,,9.912,5
1246,,Estacionamento,Ad-Hoc,,1.444,7
1247,,Guarda Costeira,Matemática,,5.680,2
1248,,Plano de Dieta,Strings,,4.519,2
1250,,KiloMan,Ad-Hoc,,4.375,2
1251,,Diga-me a Frequência,Estruturas e Bibliotecas,,5.057,6
1252,,Sort! Sort!! e Sort!!!,Estruturas e Bibliotecas,,4.045,7
1253,,Cifra de César,Strings,,26.097,3
1254,,Substituição de Tag,Strings,,2.287,4
1255,,Frequência de Letras,Strings,,12.884,3
1256,,Tabelas Hash,Estruturas e Bibliotecas,,8.769,3
1257,,Array Hash,Strings,,10.658,3
1258,,Camisetas,Estruturas e Bibliotecas,,7.706,4
1259,,Pares e Ímpares,Estruturas e Bibliotecas,,20.360,3
1260,,Espécies de Madeira,Estruturas e Bibliotecas,,4.711,5
1261,,Pontos de Feno,Estruturas e Bibliotecas,,4.573,2
